id, name,calories,protein, fat,carbs,vit_a,vit_d,vit_e,vit_b1,vit_b2,vit_c,salt
1227,＜魚類＞　（いわし類）　缶詰　水煮,168.00,20.70,10.60,0.10,9.00,6.00,2.60,0.03,0.30,0.00,0.80
1228,＜魚類＞　（いわし類）　缶詰　味付け,203.00,20.40,11.90,5.70,9.00,20.00,2.10,0.03,0.30,0.00,1.40
1229,＜魚類＞　（いわし類）　缶詰　トマト漬,167.00,17.50,10.80,1.30,12.00,20.00,2.40,0.01,0.25,0.00,0.70
1230,＜魚類＞　（いわし類）　缶詰　油漬,351.00,20.30,30.70,0.30,25.00,7.00,8.20,0.08,0.32,0.00,0.80
1231,＜魚類＞　（いわし類）　缶詰　かば焼,234.00,16.20,15.60,9.30,32.00,17.00,1.80,0.01,0.24,0.00,1.50
1232,＜魚類＞　（いわし類）　缶詰　アンチョビ,157.00,24.20,6.80,0.10,4.00,1.70,1.90,0.00,0.31,0.00,13.10
1233,＜魚類＞　いわな　養殖　生,101.00,19.00,3.60,0.10,5.00,5.00,1.60,0.09,0.12,1.00,0.10
1234,＜魚類＞　うぐい　生,93.00,20.10,1.50,0.20,41.00,19.00,0.80,0.03,0.11,0.00,0.20
1235,＜魚類＞　うなぎ　養殖　生,228.00,17.10,19.30,0.30,"2,400.00",18.00,7.40,0.37,0.48,2.00,0.20
1236,＜魚類＞　うなぎ　きも　生,102.00,13.00,5.30,3.50,"4,400.00",3.00,3.90,0.30,0.75,2.00,0.40
1237,＜魚類＞　うなぎ　白焼き,300.00,20.70,25.80,0.10,"1,500.00",17.00,5.30,0.55,0.45,0.00,0.30
1238,＜魚類＞　うなぎ　かば焼,285.00,23.00,21.00,3.10,"1,500.00",19.00,4.90,0.75,0.74,0.00,1.30
1239,＜魚類＞　うまづらはぎ　生,75.00,18.20,0.30,0.00,0.00,8.00,1.10,0.01,0.13,0.00,0.50
1240,＜魚類＞　うまづらはぎ　味付け開き干し,289.00,58.90,1.60,10.40,0.00,69.00,0.70,0.02,0.05,0.00,6.10
1241,＜魚類＞　えい　生,79.00,19.10,0.30,0.10,2.00,3.00,0.70,0.05,0.12,1.00,0.70
1242,＜魚類＞　えそ　生,87.00,20.10,0.80,0.10,0.00,1.00,0.10,0.07,0.10,2.00,0.30
1243,＜魚類＞　おいかわ　生,124.00,19.20,5.80,0.10,10.00,10.00,0.90,0.01,0.16,2.00,0.10
1244,＜魚類＞　おおさが　生,131.00,16.30,8.00,0.10,85.00,3.00,4.90,0.01,0.03,1.00,0.20
1245,＜魚類＞　おこぜ　生,81.00,19.60,0.20,0.20,2.00,1.00,0.40,0.01,0.12,0.00,0.20
1246,＜魚類＞　おひょう　生,93.00,19.90,1.70,0.10,13.00,3.00,0.80,0.09,0.07,0.00,0.20
1247,＜魚類＞　かさご　生,83.00,19.30,1.10,0.10,3.00,2.00,0.30,0.03,0.06,1.00,0.30
1248,＜魚類＞　かじか　生,98.00,15.00,5.00,0.20,180.00,3.00,1.30,0.07,0.38,1.00,0.30
1249,＜魚類＞　かじか　水煮,108.00,15.80,5.80,0.20,290.00,4.90,2.50,0.06,0.30,0.00,0.20
1250,＜魚類＞　かじか　つくだ煮,293.00,29.40,5.50,33.80,370.00,2.00,3.40,0.07,0.48,0.00,4.30
1251,＜魚類＞　（かじき類）　くろかじき　生,93.00,22.90,0.20,0.10,2.00,38.00,0.90,0.05,0.06,1.00,0.20
1252,＜魚類＞　（かじき類）　まかじき　生,107.00,23.10,1.80,0.10,8.00,12.00,1.20,0.09,0.07,2.00,0.20
1253,＜魚類＞　（かじき類）　めかじき　生,139.00,19.20,7.60,0.10,61.00,8.80,4.40,0.06,0.09,1.00,0.20
1254,＜魚類＞　（かじき類）　めかじき　焼き,202.00,27.50,11.10,0.00,85.00,10.00,6.10,0.07,0.11,0.00,0.30
1255,＜魚類＞　（かつお類）　かつお　春獲り　生,108.00,25.80,0.50,0.10,5.00,4.00,0.30,0.13,0.17,0.00,0.10
1256,＜魚類＞　（かつお類）　かつお　秋獲り　生,150.00,25.00,6.20,0.20,20.00,9.00,0.10,0.10,0.16,0.00,0.10
1257,＜魚類＞　（かつお類）　そうだがつお　生,126.00,25.70,2.80,0.30,9.00,22.00,1.20,0.17,0.29,0.00,0.20
1258,＜魚類＞　（かつお類）　加工品　なまり,126.00,29.80,0.70,0.40,0.00,4.00,0.20,0.19,0.18,0.00,0.30
1259,＜魚類＞　（かつお類）　加工品　なまり節,162.00,38.00,1.10,0.50,0.00,21.00,0.40,0.40,0.25,0.00,0.20
1260,＜魚類＞　（かつお類）　加工品　裸節,309.00,71.60,3.30,0.20,10.00,6.70,1.50,0.01,0.35,0.00,0.80
1261,＜魚類＞　（かつお類）　加工品　かつお節,332.00,77.10,2.90,0.80,0.00,6.00,1.20,0.55,0.35,0.00,0.30
1262,＜魚類＞　（かつお類）　加工品　削り節,327.00,75.70,3.20,0.40,24.00,4.00,1.10,0.38,0.57,0.00,1.20
1263,＜魚類＞　（かつお類）　加工品　削り節つくだ煮,233.00,19.50,3.30,32.30,0.00,6.00,0.40,0.13,0.10,0.00,7.90
1264,＜魚類＞　（かつお類）　加工品　角煮,221.00,31.00,1.60,21.40,0.00,5.00,0.50,0.15,0.12,0.00,3.80
1265,＜魚類＞　（かつお類）　加工品　塩辛,58.00,12.00,1.50,0.00,90.00,120.00,0.70,0.10,0.25,0.00,12.70
1266,＜魚類＞　（かつお類）　缶詰　味付け　フレーク,139.00,18.40,2.70,10.70,0.00,9.00,1.00,0.14,0.13,0.00,1.70
1267,＜魚類＞　（かつお類）　缶詰　油漬　フレーク,289.00,18.80,24.20,0.10,0.00,4.00,2.60,0.12,0.11,0.00,0.90
1268,＜魚類＞　かます　生,137.00,18.90,7.20,0.10,12.00,11.00,0.90,0.03,0.14,0.00,0.30
1269,＜魚類＞　かます　焼き,134.00,23.30,4.90,0.10,13.00,10.00,0.90,0.03,0.14,0.00,0.40
1270,＜魚類＞　（かれい類）　まがれい　生,89.00,19.60,1.30,0.10,5.00,13.00,1.50,0.03,0.35,1.00,0.30
1271,＜魚類＞　（かれい類）　まがれい　水煮,97.00,21.40,1.10,0.10,5.00,17.00,2.00,0.03,0.27,0.00,0.30
1272,＜魚類＞　（かれい類）　まがれい　焼き,104.00,23.40,1.30,0.10,7.00,18.00,2.50,0.03,0.41,1.00,0.30
1273,＜魚類＞　（かれい類）　まこがれい　生,86.00,18.00,1.80,0.10,6.00,6.70,1.50,0.12,0.32,1.00,0.30
1274,＜魚類＞　（かれい類）　まこがれい　焼き,138.00,28.50,2.80,0.20,6.00,9.20,2.10,0.17,0.44,1.00,0.50
1275,＜魚類＞　（かれい類）　子持ちがれい　生,123.00,19.90,6.20,0.10,12.00,4.00,2.90,0.19,0.20,4.00,0.20
1276,＜魚類＞　（かれい類）　子持ちがれい　水煮,137.00,22.30,7.20,0.10,11.00,4.70,4.20,0.25,0.22,3.00,0.20
1277,＜魚類＞　（かれい類）　干しかれい,104.00,20.20,3.40,0.00,2.00,1.00,2.30,0.25,0.10,1.00,1.10
1278,＜魚類＞　かわはぎ　生,77.00,18.80,0.40,0.00,2.00,43.00,0.60,0.02,0.07,0.00,0.30
1279,＜魚類＞　かんぱち　三枚おろし　生,119.00,21.00,4.20,0.10,4.00,4.00,0.90,0.15,0.16,0.00,0.20
1280,＜魚類＞　かんぱち　背側　生,95.00,22.20,1.20,0.10,4.00,1.40,1.10,0.15,0.08,1.00,0.10
1281,＜魚類＞　きす　生,73.00,18.50,0.20,0.00,1.00,0.70,0.40,0.09,0.03,1.00,0.30
1282,＜魚類＞　きす　天ぷら,234.00,18.40,15.20,7.80,3.00,0.60,3.20,0.09,0.06,1.00,0.30
1283,＜魚類＞　きちじ　生,238.00,13.60,21.70,0.00,65.00,4.00,2.40,0.03,0.07,2.00,0.20
1284,＜魚類＞　きびなご　生,85.00,18.80,1.40,0.10,0.00,10.00,0.30,0.02,0.25,3.00,0.40
1285,＜魚類＞　きびなご　調味干し,241.00,47.90,7.40,0.50,0.00,24.00,0.40,0.02,0.64,1.00,6.60
1286,＜魚類＞　キャビア　塩蔵品,242.00,26.20,17.10,1.10,60.00,1.00,9.30,0.01,1.31,4.00,4.10
1287,＜魚類＞　キングクリップ　生,73.00,18.20,0.10,0.00,5.00,0.00,0.20,0.03,0.07,1.00,0.40
1288,＜魚類＞　ぎんだら　生,210.00,13.60,18.60,0.00,"1,500.00",3.50,4.60,0.05,0.10,0.00,0.20
1289,＜魚類＞　ぎんだら　水煮,253.00,14.90,23.80,0.00,"1,800.00",4.20,5.40,0.04,0.08,0.00,0.20
1290,＜魚類＞　きんめだい　生,147.00,17.80,9.00,0.10,63.00,2.00,1.70,0.03,0.05,1.00,0.10
1291,＜魚類＞　ぐち　生,78.00,18.00,0.80,0.00,5.00,2.90,0.50,0.04,0.28,0.00,0.20
1292,＜魚類＞　ぐち　焼き,100.00,23.40,0.80,0.00,7.00,3.30,0.70,0.05,0.25,0.00,0.40
1293,＜魚類＞　こい　養殖　生,157.00,17.70,10.20,0.20,4.00,14.00,2.00,0.46,0.18,0.00,0.10
1294,＜魚類＞　こい　養殖　水煮,190.00,19.20,13.40,0.20,3.00,12.00,2.00,0.37,0.17,1.00,0.10
1295,＜魚類＞　こい　養殖　内臓　生,258.00,9.00,25.90,1.30,500.00,9.00,3.80,0.07,0.54,2.00,0.20
1296,＜魚類＞　（こち類）　まごち　生,94.00,22.50,0.50,0.20,1.00,1.00,0.10,0.07,0.17,1.00,0.30
1297,＜魚類＞　（こち類）　めごち　生,73.00,17.10,0.60,0.10,2.00,11.00,0.00,0.02,0.08,0.00,0.40
1298,＜魚類＞　このしろ　生,146.00,19.00,8.30,0.40,0.00,9.00,2.50,0.00,0.17,0.00,0.40
1299,＜魚類＞　このしろ　甘酢漬,184.00,19.10,10.10,6.40,0.00,7.00,0.50,0.00,0.17,0.00,2.30
1300,＜魚類＞　（さけ・ます類）　からふとます　生,139.00,21.70,6.60,0.10,13.00,22.00,0.70,0.25,0.18,1.00,0.20
1301,＜魚類＞　（さけ・ます類）　からふとます　焼き,175.00,28.10,7.70,0.10,15.00,31.00,0.90,0.24,0.27,1.00,0.20
1302,＜魚類＞　（さけ・ます類）　からふとます　塩ます,146.00,20.90,7.40,0.60,19.00,20.00,0.40,0.21,0.17,1.00,5.80
1303,＜魚類＞　（さけ・ます類）　からふとます　水煮缶詰,145.00,20.70,7.20,0.10,0.00,7.00,0.70,0.15,0.13,0.00,0.90
1304,＜魚類＞　（さけ・ます類）　ぎんざけ　養殖　生,188.00,19.60,12.80,0.30,36.00,15.00,1.80,0.15,0.14,1.00,0.10
1305,＜魚類＞　（さけ・ます類）　ぎんざけ　養殖　焼き,236.00,25.20,15.80,0.40,37.00,21.00,2.70,0.13,0.19,1.00,0.20
1306,＜魚類＞　（さけ・ます類）　さくらます　生,146.00,20.90,7.70,0.10,63.00,10.00,2.30,0.11,0.14,1.00,0.10
1307,＜魚類＞　（さけ・ます類）　さくらます　焼き,208.00,28.40,12.00,0.10,55.00,15.00,3.30,0.12,0.23,1.00,0.20
1308,＜魚類＞　（さけ・ます類）　しろさけ　生,124.00,22.30,4.10,0.10,11.00,32.00,1.20,0.15,0.21,1.00,0.20
1309,＜魚類＞　（さけ・ます類）　しろさけ　水煮,142.00,25.50,4.70,0.10,13.00,34.00,1.10,0.15,0.23,0.00,0.20
1310,＜魚類＞　（さけ・ます類）　しろさけ　焼き,160.00,29.10,5.10,0.10,14.00,39.00,1.40,0.17,0.26,1.00,0.20
1311,＜魚類＞　（さけ・ます類）　しろさけ　新巻き　生,138.00,22.80,6.10,0.10,0.00,21.00,0.70,0.18,0.20,1.00,3.00
1312,＜魚類＞　（さけ・ます類）　しろさけ　新巻き　焼き,177.00,29.30,7.90,0.10,0.00,25.00,1.00,0.22,0.24,1.00,2.10
1313,＜魚類＞　（さけ・ます類）　しろさけ　塩ざけ,183.00,22.40,11.10,0.10,24.00,23.00,0.40,0.14,0.15,1.00,1.80
1314,＜魚類＞　（さけ・ます類）　しろさけ　イクラ,252.00,32.60,15.60,0.20,330.00,44.00,9.10,0.42,0.55,6.00,2.30
1315,＜魚類＞　（さけ・ます類）　しろさけ　すじこ,263.00,30.50,17.40,0.90,670.00,47.00,11.00,0.42,0.61,9.00,4.80
1316,＜魚類＞　（さけ・ます類）　しろさけ　めふん,74.00,16.90,0.90,0.40,250.00,20.00,0.40,0.00,6.38,0.00,14.70
1317,＜魚類＞　（さけ・ます類）　しろさけ　水煮缶詰,156.00,21.20,8.50,0.10,0.00,8.00,0.60,0.15,0.12,0.00,0.60
1318,＜魚類＞　（さけ・ます類）　しろさけ　サケ節　削り節,346.00,77.40,3.40,0.20,3.00,33.00,2.00,0.04,0.52,0.00,0.80
1319,＜魚類＞　（さけ・ます類）　たいせいようさけ　養殖　皮つき　生,218.00,20.10,16.50,0.10,14.00,8.30,3.80,0.23,0.10,2.00,0.10
1320,＜魚類＞　（さけ・ます類）　たいせいようさけ　養殖　皮つき　水煮,236.00,22.50,18.40,0.10,15.00,7.50,4.90,0.26,0.10,1.00,0.10
1321,＜魚類＞　（さけ・ます類）　たいせいようさけ　養殖　皮つき　蒸し,230.00,23.80,15.80,0.10,16.00,7.50,3.40,0.25,0.11,2.00,0.10
1322,＜魚類＞　（さけ・ます類）　たいせいようさけ　養殖　皮つき　電子レンジ調理,223.00,22.90,15.40,0.10,18.00,6.10,2.90,0.29,0.11,2.00,0.10
1323,＜魚類＞　（さけ・ます類）　たいせいようさけ　養殖　皮つき　焼き,270.00,24.50,19.70,0.30,17.00,11.00,4.40,0.24,0.13,3.00,0.10
1324,＜魚類＞　（さけ・ます類）　たいせいようさけ　養殖　皮つき　ソテー,266.00,25.20,20.40,0.10,22.00,6.90,5.80,0.31,0.13,2.00,0.10
1325,＜魚類＞　（さけ・ます類）　たいせいようさけ　養殖　皮つき　天ぷら,282.00,21.00,20.10,5.10,6.00,5.60,5.70,0.27,0.14,2.00,0.20
1326,＜魚類＞　（さけ・ます類）　たいせいようさけ　養殖　皮なし　生,223.00,19.60,17.00,0.10,14.00,7.30,3.60,0.24,0.08,2.00,0.10
1327,＜魚類＞　（さけ・ます類）　たいせいようさけ　養殖　皮なし　水煮,244.00,22.70,17.90,0.10,16.00,7.00,4.70,0.27,0.10,2.00,0.10
1328,＜魚類＞　（さけ・ます類）　たいせいようさけ　養殖　皮なし　蒸し,228.00,23.20,15.80,0.10,17.00,7.30,3.40,0.25,0.10,2.00,0.10
1329,＜魚類＞　（さけ・ます類）　たいせいようさけ　養殖　皮なし　電子レンジ調理,231.00,22.70,16.50,0.10,22.00,6.40,3.10,0.29,0.11,2.00,0.10
1330,＜魚類＞　（さけ・ます類）　たいせいようさけ　養殖　皮なし　焼き,229.00,23.90,15.70,0.10,21.00,7.70,3.70,0.25,0.11,1.00,0.10
1331,＜魚類＞　（さけ・ます類）　たいせいようさけ　養殖　皮なし　ソテー,269.00,25.80,21.00,0.10,22.00,6.60,6.00,0.31,0.13,2.00,0.10
1332,＜魚類＞　（さけ・ます類）　たいせいようさけ　養殖　皮なし　天ぷら,266.00,20.00,18.60,5.50,5.00,5.30,5.40,0.27,0.13,2.00,0.20
1333,＜魚類＞　（さけ・ます類）　にじます　海面養殖　皮つき　生,201.00,21.40,14.20,0.10,57.00,11.00,5.50,0.17,0.10,2.00,0.20
1334,＜魚類＞　（さけ・ます類）　にじます　海面養殖　皮なし　生,176.00,20.50,10.80,0.20,27.00,7.00,3.80,0.21,0.12,3.00,0.10
1335,＜魚類＞　（さけ・ます類）　にじます　海面養殖　皮つき　焼き,238.00,27.20,15.80,0.40,74.00,12.00,5.90,0.20,0.15,5.00,0.20
1336,＜魚類＞　（さけ・ます類）　にじます　淡水養殖　皮つき　生,116.00,19.70,4.60,0.10,17.00,12.00,1.20,0.21,0.10,2.00,0.10
1337,＜魚類＞　（さけ・ます類）　べにざけ　生,127.00,22.50,4.50,0.10,27.00,33.00,1.30,0.26,0.15,0.00,0.10
1338,＜魚類＞　（さけ・ます類）　べにざけ　焼き,163.00,28.50,6.00,0.10,35.00,38.00,1.80,0.27,0.22,2.00,0.20
1339,＜魚類＞　（さけ・ます類）　べにざけ　くん製,143.00,25.70,5.50,0.10,43.00,28.00,1.20,0.23,0.23,0.00,3.80
1340,＜魚類＞　（さけ・ます類）　ますのすけ　生,176.00,19.50,12.50,0.00,160.00,16.00,3.30,0.13,0.12,1.00,0.10
1341,＜魚類＞　（さけ・ます類）　ますのすけ　焼き,238.00,26.40,16.70,0.00,200.00,17.00,3.80,0.14,0.20,0.00,0.10
1342,＜魚類＞　（さば類）　まさば　生,211.00,20.60,16.80,0.30,37.00,5.10,1.30,0.21,0.31,1.00,0.30
1343,＜魚類＞　（さば類）　まさば　水煮,253.00,22.60,22.60,0.30,31.00,4.30,2.00,0.25,0.30,0.00,0.20
1344,＜魚類＞　（さば類）　まさば　焼き,264.00,25.20,22.40,0.40,34.00,4.90,2.10,0.30,0.37,0.00,0.30
1345,＜魚類＞　（さば類）　まさば　フライ,316.00,20.00,25.10,6.50,42.00,3.50,3.20,0.20,0.30,0.00,0.30
1346,＜魚類＞　（さば類）　ごまさば　生,131.00,23.00,5.10,0.30,8.00,4.30,1.20,0.17,0.28,0.00,0.20
1347,＜魚類＞　（さば類）　ごまさば　水煮,139.00,24.80,5.20,0.20,8.00,4.90,1.10,0.15,0.28,0.00,0.10
1348,＜魚類＞　（さば類）　ごまさば　焼き,174.00,31.10,6.60,0.30,11.00,5.70,1.70,0.21,0.36,0.00,0.20
1349,＜魚類＞　（さば類）　ごまさば　さば節,330.00,73.90,5.10,0.00,0.00,12.00,0.90,0.25,0.85,0.00,0.90
1350,＜魚類＞　（さば類）　たいせいようさば　生,295.00,17.20,26.80,0.40,44.00,10.00,0.70,0.14,0.35,1.00,0.30
1351,＜魚類＞　（さば類）　たいせいようさば　水煮,310.00,18.60,28.50,0.40,42.00,6.60,0.60,0.19,0.34,0.00,0.20
1352,＜魚類＞　（さば類）　たいせいようさば　焼き,326.00,21.80,29.30,0.50,63.00,11.00,0.80,0.22,0.38,0.00,0.30
1353,＜魚類＞　（さば類）　加工品　塩さば,263.00,26.20,19.10,0.10,9.00,11.00,0.50,0.16,0.59,0.00,1.80
1354,＜魚類＞　（さば類）　加工品　開き干し,303.00,18.70,28.50,0.20,9.00,12.00,2.40,0.13,0.59,0.00,1.70
1355,＜魚類＞　（さば類）　加工品　しめさば,292.00,18.60,26.90,1.70,14.00,8.00,0.50,0.13,0.28,0.00,1.60
1356,＜魚類＞　（さば類）　缶詰　水煮,174.00,20.90,10.70,0.20,0.00,11.00,3.20,0.15,0.40,0.00,0.90
1357,＜魚類＞　（さば類）　缶詰　みそ煮,210.00,16.30,13.90,6.60,42.00,5.00,1.90,0.04,0.37,0.00,1.10
1358,＜魚類＞　（さば類）　缶詰　味付け,208.00,21.40,12.60,4.00,31.00,5.00,2.40,0.03,0.27,0.00,1.30
1359,＜魚類＞　（さめ類）　あぶらつのざめ　生,138.00,16.80,9.40,0.00,210.00,1.00,2.20,0.04,0.08,0.00,0.30
1360,＜魚類＞　（さめ類）　よしきりざめ　生,79.00,18.90,0.60,0.00,9.00,0.00,0.90,0.11,0.11,0.00,0.50
1361,＜魚類＞　（さめ類）　ふかひれ,344.00,83.90,1.60,0.00,0.00,1.00,0.40,0.00,0.00,0.00,0.50
1362,＜魚類＞　さより　生,88.00,19.60,1.30,0.00,0.00,3.00,0.90,0.00,0.12,2.00,0.50
1363,＜魚類＞　さわら　生,161.00,20.10,9.70,0.10,12.00,7.00,0.30,0.09,0.35,0.00,0.20
1364,＜魚類＞　さわら　焼き,184.00,23.60,10.80,0.10,16.00,12.00,1.10,0.09,0.34,0.00,0.20
1365,＜魚類＞　さんま　皮つき　生,287.00,18.10,25.60,0.10,16.00,16.00,1.70,0.01,0.28,0.00,0.40
1366,＜魚類＞　さんま　皮なし　生,277.00,17.80,25.00,0.20,26.00,11.00,2.60,0.00,0.32,1.00,0.30
1367,＜魚類＞　さんま　皮つき　焼き,281.00,23.30,22.80,0.20,11.00,13.00,1.00,0.00,0.30,0.00,0.30
1368,＜魚類＞　さんま　開き干し,232.00,19.30,19.00,0.10,25.00,14.00,1.50,0.00,0.30,0.00,1.30
1369,＜魚類＞　さんま　みりん干し,382.00,23.90,25.80,20.40,31.00,20.00,0.50,0.00,0.30,0.00,3.60
1370,＜魚類＞　さんま　缶詰　味付け,259.00,18.90,18.90,5.60,25.00,13.00,2.80,0.00,0.20,0.00,1.40
1371,＜魚類＞　さんま　缶詰　かば焼,219.00,17.40,13.00,9.70,28.00,12.00,2.40,0.00,0.27,0.00,1.50
1372,＜魚類＞　しいら　生,100.00,21.30,1.90,0.00,8.00,5.00,0.50,0.20,0.15,1.00,0.10
1373,＜魚類＞　（ししゃも類）　ししゃも　生干し　生,152.00,21.00,8.10,0.20,100.00,0.60,0.80,0.02,0.25,1.00,1.20
1374,＜魚類＞　（ししゃも類）　ししゃも　生干し　焼き,162.00,24.30,7.80,0.20,76.00,0.60,1.10,0.04,0.29,1.00,1.60
1375,＜魚類＞　（ししゃも類）　からふとししゃも　生干し　生,160.00,15.60,11.60,0.50,120.00,0.40,1.60,0.00,0.31,1.00,1.50
1376,＜魚類＞　（ししゃも類）　からふとししゃも　生干し　焼き,170.00,18.20,11.30,0.60,90.00,0.50,2.10,0.01,0.37,1.00,2.00
1377,＜魚類＞　したびらめ　生,89.00,19.20,1.60,0.00,30.00,2.00,0.60,0.06,0.14,1.00,0.40
1378,＜魚類＞　しまあじ　養殖　生,153.00,21.90,8.00,0.10,10.00,18.00,1.60,0.25,0.15,0.00,0.10
1379,＜魚類＞　しらうお　生,70.00,13.60,2.00,0.10,50.00,1.00,1.80,0.08,0.10,4.00,0.40
1380,＜魚類＞　シルバー　生,138.00,18.60,7.90,0.00,100.00,3.00,3.10,0.08,0.18,0.00,0.20
1381,＜魚類＞　すずき　生,113.00,19.80,4.20,0.00,180.00,10.00,1.20,0.02,0.20,3.00,0.20
1382,＜魚類＞　（たい類）　きだい　生,100.00,18.60,3.10,0.20,50.00,4.00,1.50,0.03,0.04,1.00,0.20
1383,＜魚類＞　（たい類）　くろだい　生,137.00,20.40,6.70,0.30,12.00,4.00,1.40,0.12,0.30,3.00,0.10
1384,＜魚類＞　（たい類）　ちだい　生,97.00,19.40,2.40,0.10,21.00,2.00,1.30,0.03,0.10,2.00,0.20
1385,＜魚類＞　（たい類）　まだい　天然　生,129.00,20.60,5.80,0.10,8.00,5.00,1.00,0.09,0.05,1.00,0.10
1386,＜魚類＞　（たい類）　まだい　養殖　皮つき　生,160.00,20.90,9.40,0.10,11.00,7.00,2.40,0.32,0.08,3.00,0.10
1387,＜魚類＞　（たい類）　まだい　養殖　皮つき　水煮,182.00,22.20,11.90,0.10,10.00,4.70,3.40,0.16,0.07,2.00,0.10
1388,＜魚類＞　（たい類）　まだい　養殖　皮つき　焼き,186.00,22.70,12.00,0.10,17.00,5.60,4.60,0.14,0.09,3.00,0.10
1389,＜魚類＞　（たい類）　まだい　養殖　皮なし　生,131.00,21.20,5.90,0.20,10.00,4.50,2.60,0.31,0.08,3.00,0.10
1390,＜魚類＞　たかさご　生,93.00,20.20,1.50,0.10,7.00,2.00,0.10,0.03,0.07,0.00,0.10
1391,＜魚類＞　たかべ　生,148.00,18.70,9.00,0.00,16.00,4.00,1.40,0.06,0.18,1.00,0.30
1392,＜魚類＞　たちうお　生,238.00,16.50,20.90,0.00,52.00,14.00,1.20,0.01,0.07,1.00,0.20
1393,＜魚類＞　（たら類）　すけとうだら　生,72.00,17.40,1.00,0.10,10.00,0.50,0.90,0.05,0.11,1.00,0.30
1394,＜魚類＞　（たら類）　すけとうだら　フライ,195.00,19.20,11.90,5.70,18.00,0.40,3.20,0.05,0.13,0.00,0.40
1395,＜魚類＞　（たら類）　すけとうだら　すり身,98.00,17.50,0.20,6.60,5.00,1.00,0.60,0.03,0.05,0.00,0.30
1396,＜魚類＞　（たら類）　すけとうだら　すきみだら,165.00,40.50,0.30,0.10,0.00,1.00,1.10,0.13,0.18,0.00,18.80
1397,＜魚類＞　（たら類）　すけとうだら　たらこ　生,131.00,24.00,4.70,0.40,24.00,1.70,7.10,0.71,0.43,33.00,4.60
1398,＜魚類＞　（たら類）　すけとうだら　たらこ　焼き,158.00,28.30,6.10,0.50,34.00,1.60,8.10,0.77,0.53,21.00,5.30
1399,＜魚類＞　（たら類）　すけとうだら　からしめんたいこ,121.00,21.00,3.30,3.00,41.00,1.00,6.50,0.34,0.33,76.00,5.60
1400,＜魚類＞　（たら類）　まだら　生,72.00,17.60,0.20,0.10,10.00,1.00,0.80,0.10,0.10,0.00,0.30
1401,＜魚類＞　（たら類）　まだら　焼き,103.00,25.20,0.20,0.20,9.00,0.70,1.30,0.09,0.12,0.00,0.40
1402,＜魚類＞　（たら類）　まだら　しらこ　生,60.00,13.40,0.80,0.20,8.00,2.00,1.80,0.24,0.13,2.00,0.30
1403,＜魚類＞　（たら類）　まだら　塩だら,61.00,15.20,0.10,0.00,0.00,3.00,0.70,0.13,0.20,0.00,2.00
1404,＜魚類＞　（たら類）　まだら　干しだら,299.00,73.20,0.80,0.10,0.00,6.00,0.30,0.20,0.30,0.00,3.80
1405,＜魚類＞　（たら類）　加工品　でんぶ,276.00,25.50,1.10,41.50,0.00,0.50,0.80,0.04,0.08,0.00,4.20
1406,＜魚類＞　（たら類）　加工品　桜でんぶ,351.00,10.60,0.50,80.20,2.00,0.00,0.10,0.01,0.01,0.00,2.40
1407,＜魚類＞　ちか　生,82.00,19.50,0.60,0.00,4.00,1.00,0.90,0.00,0.14,0.00,0.60
1408,＜魚類＞　どじょう　生,72.00,16.10,1.20,0.00,15.00,4.00,0.60,0.09,1.09,1.00,0.20
1409,＜魚類＞　どじょう　水煮,76.00,17.10,1.20,0.00,15.00,5.50,0.40,0.08,1.00,0.00,0.30
1410,＜魚類＞　とびうお　生,89.00,21.00,0.70,0.10,3.00,2.00,2.30,0.01,0.10,1.00,0.20
1411,＜魚類＞　とびうお　煮干し,325.00,80.00,2.20,0.10,9.00,3.90,4.00,0.00,0.32,0.00,1.50
1412,＜魚類＞　とびうお　焼き干し,309.00,73.40,3.30,0.10,17.00,3.30,2.40,0.00,0.32,0.00,1.80
1413,＜魚類＞　ナイルティラピア　生,124.00,19.80,5.30,0.20,3.00,11.00,1.90,0.04,0.20,1.00,0.20
1414,＜魚類＞　なまず　生,145.00,18.40,8.60,0.00,71.00,4.00,6.30,0.33,0.10,0.00,0.10
1415,＜魚類＞　にぎす　生,84.00,18.70,1.20,0.10,75.00,0.00,0.50,0.12,0.26,1.00,0.50
1416,＜魚類＞　にしん　生,196.00,17.40,15.10,0.10,18.00,22.00,3.10,0.01,0.23,0.00,0.30
1417,＜魚類＞　にしん　身欠きにしん,224.00,20.90,16.70,0.20,0.00,50.00,2.70,0.01,0.03,0.00,0.40
1418,＜魚類＞　にしん　開き干し,239.00,18.50,19.70,0.20,0.00,36.00,2.10,0.01,0.03,0.00,0.90
1419,＜魚類＞　にしん　くん製,280.00,23.10,22.10,0.00,0.00,48.00,0.50,0.01,0.35,0.00,9.90
1420,＜魚類＞　にしん　かずのこ　生,139.00,25.20,6.70,0.20,15.00,13.00,5.10,0.15,0.22,0.00,0.80
1421,＜魚類＞　にしん　かずのこ　乾,358.00,65.20,13.60,0.50,7.00,32.00,6.40,0.00,0.07,0.00,3.60
1422,＜魚類＞　にしん　かずのこ　塩蔵　水戻し,80.00,15.00,3.00,0.60,2.00,17.00,0.90,0.00,0.01,0.00,1.20
1423,＜魚類＞　はぜ　生,78.00,19.10,0.20,0.10,7.00,3.00,1.00,0.04,0.04,1.00,0.20
